"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5348","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Tue Jan 14 18:09:54 GMT 2025","passed","Tue Jan 14 18:09:59 GMT 2025","","rcx25_test","",""
"","5677","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Tue Jan 14 18:10:10 GMT 2025","failed","Tue Jan 14 18:10:16 GMT 2025","","rcx25_test","",""
"","2","test_averaged_off_diagonals","Unit Tests","Tue Jan 14 18:08:14 GMT 2025","passed","Tue Jan 14 18:08:14 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_parse_csv","Unit Tests","Tue Jan 14 18:08:14 GMT 2025","passed","Tue Jan 14 18:08:14 GMT 2025","Test","capacitance_matrix_test","",""
"","1","test_render_enum_help__default__strenum","Unit Tests","Tue Jan 14 18:08:15 GMT 2025","passed","Tue Jan 14 18:08:15 GMT 2025","Test","argparse_helpers_test","",""
"","2","test_fastercap_parse_capacitance_matrix","Unit Tests","Tue Jan 14 18:08:15 GMT 2025","passed","Tue Jan 14 18:08:15 GMT 2025","Test","fastercap_runner_test","",""
"","5550","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Tue Jan 14 18:09:59 GMT 2025","passed","Tue Jan 14 18:10:05 GMT 2025","","rcx25_test","",""
"","26","test_netlist_expansion","Unit Tests","Tue Jan 14 18:08:15 GMT 2025","passed","Tue Jan 14 18:08:15 GMT 2025","Test","netlist_expander_test","",""
"","1","test_render_enum_help__nodefault__intenum","Unit Tests","Tue Jan 14 18:08:15 GMT 2025","passed","Tue Jan 14 18:08:15 GMT 2025","Test","argparse_helpers_test","",""
"","7966","test_single_plate_100um_x_100um_li1_over_substrate","kpex/FasterCap Extraction Tests","Tue Jan 14 18:09:45 GMT 2025","broken","Tue Jan 14 18:09:53 GMT 2025","","fastercap_test","",""
"","1257","test_fastercap_model_generator","Unit Tests","Tue Jan 14 18:08:14 GMT 2025","passed","Tue Jan 14 18:08:15 GMT 2025","","fastercap_model_generator_test","",""
"","5810","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Tue Jan 14 18:10:22 GMT 2025","passed","Tue Jan 14 18:10:28 GMT 2025","","rcx25_test","",""
"","5955","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","Tue Jan 14 18:10:28 GMT 2025","failed","Tue Jan 14 18:10:33 GMT 2025","","rcx25_test","",""
"","1","test_write_csv","Unit Tests","Tue Jan 14 18:08:14 GMT 2025","passed","Tue Jan 14 18:08:14 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_render_enum_help__default__strenum__lowercased","Unit Tests","Tue Jan 14 18:08:15 GMT 2025","passed","Tue Jan 14 18:08:15 GMT 2025","Test","argparse_helpers_test","",""
"","1","test_netlist_reduction_1","Unit Tests","Tue Jan 14 18:08:15 GMT 2025","passed","Tue Jan 14 18:08:15 GMT 2025","Test","netlist_reducer_test","",""
"","1","test_netlist_reduction_2","Unit Tests","Tue Jan 14 18:08:15 GMT 2025","passed","Tue Jan 14 18:08:15 GMT 2025","Test","netlist_reducer_test","",""
"","1","test_render_enum_help__default__intenum","Unit Tests","Tue Jan 14 18:08:15 GMT 2025","passed","Tue Jan 14 18:08:15 GMT 2025","Test","argparse_helpers_test","",""
"","341","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Tue Jan 14 18:09:53 GMT 2025","passed","Tue Jan 14 18:09:54 GMT 2025","","rcx25_test","",""
"","5726","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Tue Jan 14 18:10:16 GMT 2025","failed","Tue Jan 14 18:10:22 GMT 2025","","rcx25_test","",""
"","5563","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","Tue Jan 14 18:10:05 GMT 2025","failed","Tue Jan 14 18:10:10 GMT 2025","","rcx25_test","",""
"","26","test_fastcap_parse_capacitance_matrix","Unit Tests","Tue Jan 14 18:08:14 GMT 2025","passed","Tue Jan 14 18:08:14 GMT 2025","Test","fastcap_runner_test","",""
